"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 13 11:21:58 UTC 2024","Thu Jun 13 11:21:58 UTC 2024","7","Default Suite","SelenideProject","tests.question1.WindowOperations","tests.question1.WindowOperations","verifyUrl","verifyUrl",""
"passed","Thu Jun 13 14:20:53 UTC 2024","Thu Jun 13 14:20:56 UTC 2024","2742","Default Suite","SelenideProject","tests.question1.Modals","tests.question1.Modals","testClickFormModalButton","Test clicking the form modal button",""
"passed","Thu Jun 13 11:03:42 UTC 2024","Thu Jun 13 11:03:52 UTC 2024","9914","Default Suite","SelenideProject","tests.question1.Calendars","tests.question1.Calendars","testCalendars","testCalendars",""
"passed","Thu Jun 13 14:20:35 UTC 2024","Thu Jun 13 14:20:35 UTC 2024","15","Default Suite","SelenideProject","tests.question1.Modals","tests.question1.Modals","verifyUrl","Verify the URL for the Modals page",""
"passed","Thu Jun 13 14:40:17 UTC 2024","Thu Jun 13 14:40:17 UTC 2024","116","Default Suite","SelenideProject","tests.question1.Tables","tests.question1.Tables","testTables","Testing Tables",""
"passed","Thu Jun 13 10:59:34 UTC 2024","Thu Jun 13 10:59:49 UTC 2024","14844","Default Suite","SelenideProject","tests.question1.FileUpload","tests.question1.FileUpload","testFileUpload","testFileUpload",""
"passed","Thu Jun 13 14:40:32 UTC 2024","Thu Jun 13 14:40:33 UTC 2024","1566","Default Suite","SelenideProject","tests.question1.Tables","tests.question1.Tables","testNavigateAndSearchItem","Testing Navigation and Search Item in Table",""
"passed","Thu Jun 13 14:40:24 UTC 2024","Thu Jun 13 14:40:24 UTC 2024","264","Default Suite","SelenideProject","tests.question1.Tables","tests.question1.Tables","testSearchItemInTable","Testing Search Item in Table",""
"passed","Thu Jun 13 14:20:44 UTC 2024","Thu Jun 13 14:20:45 UTC 2024","384","Default Suite","SelenideProject","tests.question1.Modals","tests.question1.Modals","testClickSimpleModalButton","Test clicking the simple modal button",""
"passed","Thu Jun 13 11:21:37 UTC 2024","Thu Jun 13 11:21:40 UTC 2024","3812","Default Suite","SelenideProject","tests.question1.WindowOperations","tests.question1.WindowOperations","testNewTab","testNewTab",""
"passed","Thu Jun 13 11:21:48 UTC 2024","Thu Jun 13 11:21:51 UTC 2024","2892","Default Suite","SelenideProject","tests.question1.WindowOperations","tests.question1.WindowOperations","testReplaceWindow","testReplaceWindow",""
